,title,critic_score,audience_score
289,Ala Vaikunthapurramuloo,100,76
290,Alanis,100,59
291,Algren,100,
292,Ali Wong: Baby Cobra,100,74
293,Ali Wong: Hard Knock Wife,100,67
294,Ali: Fear Eats the Soul,100,91
295,Alice Is Still Dead,100,
296,Alice in the Cities,100,91
297,Alien Boy: The Life and Death of James Chasse,100,90
298,Alien Raiders,100,34
299,Alien Xmas,100,66
300,'Twas the Fight Before Christmas,100,56
301,...And God Spoke,100,72
302,100 Days,100,73
303,100 Days to Live,100,85
304,100 Years of Men in Love: The Accidental Collection,100,50
305,11:55,100,80
306,12 Angry Men,100,97
307,16 Acres,100,73
308,17 Blocks,100,
309,2 in the Bush: A Love Story,100,
310,2040,100,47
311,27: El club de los malditos,100,0
312,"3 1/2 Minutes, Ten Bullets",100,86
313,3 Idiots,100,93
314,32 Pills: My Sister's Suicide,100,48
315,32 Weeks,100,95
316,36,100,81
317,4 Little Girls,100,89
318,42 Grams,100,69
319,4x4,100,60
320,5-25-77,100,88
321,500 Years,100,
322,537 Votes,100,70
323,5B,100,97
324,7 Days in September,100,80
325,76 Days,100,84
326,7:19,100,53
327,808,100,68
328,99 River Street,100,81
329,9to5: The Story of A Movement,100,90
330,A Beautiful Planet,100,78
331,A Bigger Splash,100,42
332,A Bittersweet Life,100,90
333,A Brighter Summer Day,100,94
334,A Brother's Kiss,100,67
335,A Christmas Carol,100,74
336,A Conspiracy of Faith,100,67
337,A Crime on the Bayou,100,80
338,A Day in the Country,100,87
339,A Deal With the Universe,100,
340,A Foreign Affair,100,78
341,"A Good Day to Die, Hoka Hey",100,
342,A Gray State,100,58
343,A Huey P. Newton Story,100,85
344,A Kid From Coney Island,100,69
345,A Kiss Before Dying,100,49
346,A Lesson in Love,100,77
347,A Lion in the House,100,97
348,A Love Song for Latasha,100,76
349,A Man Escaped,100,93
350,A Man Vanishes,100,81
351,A Mermaid in Paris,100,64
352,A Midsummer Night's Dream,100,67
353,A Million Colours,100,72
354,A Most Beautiful Thing,100,96
355,A Night to Remember,100,90
356,A Pebble in the Pond,100,100
357,A Peloton of One,100,
358,A People Uncounted,100,75
359,A Picture of You,100,75
360,A Quiet Place in the Country,100,54
361,A River Below,100,83
362,A Room With a View,100,85
363,A Secret Love,100,90
364,A Small Measure of Justice,100,
365,A Special Day,100,92
366,A Star Is Born,100,79
367,A Stray,100,75
368,A Tale of Love and Desire,100,
369,A Thousand Cuts,100,79
370,A Throw of Dice,100,47
371,"A Time to Live, a Time to Die",100,82
