release_year,length,genre,rating,imdb_votes,gross_US_CA,imdb_score
2004,108,0,11,471672,176.24,7.7
1986,109,0,10,470852,179.8,6.9
2013,134,0,11,470735,107.1,7.8
2004,128,5,11,470409,77.87,7.4
2011,146,7,11,469891,169.71,8.1
2008,122,7,11,469843,192.77,5.3
2014,139,0,11,469728,150.95,6.6
2014,123,0,11,468568,337.14,6.6
2017,122,0,13,467381,92.03,7.4
2010,100,3,10,466014,200.82,7.7
2003,138,6,13,465711,90.14,7.9
2003,102,5,13,465208,44.59,7.7
2011,129,0,11,464165,186.85,7.4
2019,141,0,11,463952,515.2,6.5
2008,122,0,11,463319,317.1,6.2
1991,84,3,4,462321,218.97,8.0
2014,123,4,11,461691,35.89,7.7
2017,120,0,11,461069,229.02,6.1
2013,110,5,13,461041,150.39,7.0
2008,131,7,13,459653,17.02,7.5
2004,124,0,11,458160,186.74,6.4
1990,118,2,10,458004,87.73,7.4
2005,116,0,11,457908,234.28,6.5
2011,98,5,13,456431,117.54,6.9
2008,106,0,11,456274,168.37,6.6
2013,109,0,13,455698,93.05,6.6
2002,167,6,13,452090,77.81,7.5
2003,154,0,13,450096,111.11,7.8
2018,140,0,11,450092,137.69,7.4
2014,130,0,11,449758,208.55,7.6
2015,148,0,11,449154,200.07,6.8
1941,119,7,10,448706,1.59,8.3
2005,116,5,13,447717,109.45,7.1
2001,122,0,13,447717,76.63,7.7
2003,125,2,11,446941,66.26,8.0
2015,130,4,13,443983,70.26,7.8
2016,144,0,11,443836,155.44,6.9
2015,121,0,13,443143,46.89,7.6
2008,107,5,13,442954,7.76,7.9
2006,149,15,11,441980,217.54,6.6
1999,124,0,11,441804,155.25,7.1
2004,112,6,13,441505,54.58,7.7
2010,112,0,11,438793,31.49,7.5
1996,110,0,11,436377,180.98,7.1
2011,133,4,11,435892,75.61,7.6
1982,109,12,13,435740,13.78,8.2
2006,117,3,4,435594,244.08,7.2
1998,151,0,11,434493,201.57,6.7
1987,98,2,10,434376,30.86,8.0
2007,157,4,13,434367,130.16,7.8
2012,101,3,10,433778,189.42,7.7
2022,126,0,11,433757,411.33,6.9
1992,90,3,4,433042,217.35,8.0
2011,94,5,11,432959,56.82,7.7
2004,103,12,13,432608,56.0,7.6
2006,109,5,11,432409,124.74,6.9
1987,107,0,13,432375,59.74,7.8
2005,187,0,11,431591,218.08,7.2
2017,123,7,13,430409,63.86,7.3
2015,118,7,13,429618,14.68,8.1
2022,139,0,13,428767,72.86,7.9
2011,95,12,13,428709,42.07,7.0
2008,107,0,13,427323,110.52,7.1
1997,129,0,11,426914,229.09,6.5
2000,106,7,11,425933,95.01,7.3
1984,105,0,10,423882,238.63,7.8
2010,108,2,10,423588,334.19,6.4
2002,113,7,13,423212,45.06,7.5
1986,120,7,13,421569,138.53,8.1
2012,93,3,10,421463,237.28,7.1
2014,123,0,11,421193,200.68,6.4
2011,109,0,11,420822,37.52,6.7
2013,107,5,13,420740,101.47,6.6
2006,84,5,13,420574,128.51,7.4
2018,118,0,11,420257,216.65,7.0
1982,115,2,10,418908,435.11,7.9
1992,130,7,13,418905,101.16,8.2
2016,116,7,11,418639,100.01,7.0
1973,122,12,13,418232,232.91,8.1
2011,154,0,11,416213,352.39,6.2
1999,95,5,13,415764,102.56,7.0
2021,163,0,11,415319,160.87,7.3
2005,86,3,10,415145,193.6,6.9
1986,89,2,13,414568,52.29,8.1
2004,120,0,13,414057,101.01,7.5
2003,101,5,11,413720,242.83,6.8
2009,149,0,11,413194,402.11,5.9
2019,152,0,11,412500,117.62,8.1
2007,128,0,11,411536,134.53,7.1
1985,97,5,13,410937,45.88,7.8
1958,128,15,10,409141,3.2,8.3
2009,170,5,11,408685,6.53,8.4
2013,98,3,10,408536,368.06,7.3
1939,102,2,10,408322,2.08,8.1
2005,143,2,10,408302,291.71,6.9
2004,119,3,10,408029,4.71,8.2
1984,160,4,13,408025,51.97,8.4
1979,94,5,13,407183,20.05,8.0
2008,85,0,11,407042,80.05,7.0
1997,129,7,13,406876,48.32,7.7
2003,109,0,13,406442,150.37,6.3
2019,108,5,11,406323,33.37,7.9
1990,162,6,13,405772,66.67,7.6
2001,144,0,13,404881,108.64,7.7
1997,134,3,11,404007,2.38,8.3
2013,130,0,11,400989,238.68,7.0
2019,209,4,13,400579,7.0,7.8
2010,92,5,11,399842,58.4,7.0
2010,125,6,13,399546,92.19,7.5
2004,101,7,13,399125,1.08,7.7
2004,125,6,11,398827,125.54,6.5
2021,132,0,11,397432,224.54,7.4
2015,137,0,11,397070,353.01,7.1
1994,101,0,11,396649,119.94,6.9
2008,110,0,13,396323,134.51,6.7
2004,97,5,11,396246,86.06,7.1
2018,136,7,13,395406,215.29,7.6
2006,137,7,13,395198,11.29,8.4
1995,128,0,13,394761,100.01,7.6
2001,106,0,11,394409,144.53,6.8
1994,107,5,11,394227,127.18,7.3
2017,119,0,11,393761,404.52,6.9
2021,134,0,11,392815,183.65,6.7
2011,130,0,11,388465,209.84,7.3
2014,112,0,13,387132,191.72,7.0
2021,115,0,11,385816,121.63,7.1
1997,138,0,13,385395,112.23,7.3
2014,126,7,11,385314,124.87,7.7
1989,126,0,11,385263,251.19,7.5
2010,94,4,13,385025,18.34,7.5
2009,158,0,11,384767,166.11,5.8
2002,88,0,11,384702,190.42,6.2
2014,97,2,10,384356,241.41,6.9
1997,144,7,13,382163,60.98,7.5
2015,131,0,11,381921,195.04,7.4
2014,132,0,13,381702,101.53,7.2
2006,129,6,13,381491,88.51,7.6
2019,130,0,13,379781,171.02,7.4
2006,110,7,11,378954,39.87,7.5
2011,109,5,13,377955,55.8,6.5
2003,111,0,11,375752,106.13,7.0
2010,116,0,13,375633,93.62,7.8
2007,129,5,13,375302,148.73,6.9
2007,116,7,13,374944,52.9,7.3
2001,104,12,11,374876,96.52,7.6
1994,116,0,13,373805,121.25,7.3
1992,120,2,10,373280,173.59,6.8
2002,106,7,11,371391,227.97,6.8
2012,106,0,11,371247,179.02,6.8
2004,146,0,13,370268,77.91,7.7
2008,104,5,11,369836,97.69,6.8
2013,126,0,13,369733,4.56,7.1
2004,170,4,11,369622,102.61,7.5
1990,124,0,13,369560,117.54,7.1
2013,104,3,4,369157,268.49,7.2
1999,105,9,13,368510,101.07,7.3
2009,115,0,11,367901,125.32,6.5
1986,103,5,11,367466,70.14,7.8
2021,132,0,13,366993,55.82,7.2
2012,172,7,13,366600,27.11,7.4
2005,134,7,13,365967,83.04,7.7
2014,100,3,10,365794,257.76,7.7
2009,97,7,13,365485,5.01,7.8
2004,94,5,11,365032,85.29,7.1
2001,147,7,13,364865,7.22,7.9
2006,126,0,11,364659,134.03,6.9
2004,99,5,11,364460,120.91,6.8
2005,119,5,13,363613,209.22,7.0
2013,123,5,13,362142,15.32,7.8
2012,138,7,13,361625,93.77,7.3
1980,129,4,13,361128,23.38,8.1
2004,156,4,13,361015,5.51,8.2
2004,121,4,11,360758,23.53,8.1
1996,111,12,13,359965,103.05,7.4
2011,112,0,11,359388,127.0,7.0
2014,165,7,13,359140,25.38,7.9
2019,132,0,11,358680,140.37,7.0
2006,108,2,10,358651,250.86,6.4
1984,229,6,13,358438,5.32,8.3
2002,115,12,11,358243,129.13,7.1
2022,192,0,11,358028,659.68,7.7
2018,135,0,11,357843,213.77,6.9
1997,154,6,13,357143,39.67,7.5
2022,118,0,11,356760,343.26,6.2
2019,113,0,13,356747,36.47,7.8
2005,121,0,13,356127,75.98,7.0
1995,104,2,10,355944,100.48,7.0
2012,94,5,11,355667,45.51,7.8
1999,97,5,11,355185,38.18,7.3
2021,156,0,11,354980,164.87,6.3
2007,122,6,11,354492,117.15,6.9
1999,159,7,13,352151,55.69,7.5
2010,103,0,13,351866,103.07,6.4
1954,207,0,9,351244,0.27,8.6
2000,123,0,11,350816,215.41,6.1
1993,76,3,10,350118,75.08,7.9
1988,86,3,4,349763,1.11,8.1
2010,95,5,13,349205,100.54,6.5
2012,130,0,11,348406,80.07,7.0
2016,107,3,10,348220,248.76,7.6
2008,111,0,13,346543,87.34,6.9
2010,110,7,11,345580,171.24,7.6
1996,136,0,13,345460,134.07,7.4
2014,102,3,10,345414,177.0,7.8
1978,183,7,13,345353,48.98,8.1
2019,148,7,13,344809,27.33,7.1
2010,125,0,10,344199,172.06,6.8
1999,113,5,13,342522,22.86,7.7
2018,147,0,11,342475,220.16,7.7
2000,108,5,11,342121,166.24,7.0
2009,129,4,11,342062,255.96,7.6
2004,131,0,10,341417,173.01,6.9
2022,127,0,13,341242,103.37,7.3
2009,109,5,13,340972,83.82,7.4
2007,124,0,13,340718,47.0,7.1
2017,141,0,13,340605,100.23,6.7
2006,107,5,11,340212,137.36,6.4
2015,137,0,11,340036,281.72,6.5
2014,112,0,13,339871,6.11,6.5
2008,96,5,13,339818,60.36,7.0
2016,116,0,13,339556,36.26,7.3
2001,183,0,11,339439,198.54,6.2
1990,113,0,13,339108,119.39,7.5
2012,115,7,13,338922,0.69,8.3
2011,127,0,11,338415,85.47,7.0
2016,103,7,11,337789,72.08,7.2
2007,87,3,11,337310,183.14,7.3
2009,108,5,11,337265,163.96,6.7
2002,107,0,13,337250,1.2,7.3
2004,122,0,11,336972,59.62,6.8
2018,115,2,13,336772,32.73,6.8
2018,127,7,13,336270,44.07,7.3
1968,165,21,11,335550,5.32,8.5
2012,158,7,11,335331,148.81,7.5
1990,119,5,13,335242,178.41,7.1
2011,100,5,13,335216,35.01,7.6
2005,106,0,11,334949,154.7,5.7
2001,130,0,11,333541,202.02,6.4
1959,136,0,3,333277,13.28,8.3
1974,130,7,13,333114,8.49,8.2
1994,123,7,13,331203,105.26,7.5
2001,92,0,11,329111,181.17,5.9
2017,118,0,11,327867,168.05,6.6
2011,126,2,10,327846,73.86,7.5
2010,118,0,13,325449,94.84,6.8
2018,128,0,11,325399,417.72,6.1
2013,114,2,10,325151,58.24,7.3
2015,125,7,13,325067,166.17,4.2
2005,122,6,13,324667,24.15,7.6
2005,118,5,11,323745,179.5,6.6
1996,108,0,13,323028,25.75,7.2
