release_year,length,genre,rating,imdb_votes,gross_US_CA,imdb_score
2002,107,7,11,47620,15.85,7.3
2018,93,4,11,47602,11.28,6.7
2012,105,5,10,47598,51.85,6.6
2015,88,3,4,47582,130.18,7.0
2016,89,12,13,47541,20.78,5.0
2004,92,5,11,47515,8.94,6.7
2007,108,5,11,47502,19.07,7.0
2013,160,5,9,47500,3.83,7.2
2016,99,5,13,47487,63.29,5.4
2013,172,0,9,47486,8.03,5.4
1986,86,12,13,47404,19.47,6.0
2020,95,3,10,47373,58.57,6.9
2013,106,6,9,47363,0.03,7.3
2013,87,7,9,47362,0.14,8.1
2016,142,0,9,47361,1.36,6.9
2011,86,0,9,47338,0.7,6.1
1996,108,5,10,47330,46.15,6.5
2018,160,0,9,47317,1.69,1.9
1999,106,5,13,47288,52.89,6.5
2004,87,5,13,47275,17.08,4.9
1994,102,0,13,47269,11.55,7.5
2022,100,3,10,47268,97.23,6.8
2006,118,4,10,47247,42.64,7.2
2002,81,0,11,47245,16.03,6.2
1972,116,19,13,47223,12.6,7.4
2008,148,0,13,47212,0.63,7.3
1987,89,2,11,47177,20.76,3.0
1988,91,0,13,47168,37.9,6.3
2017,143,0,9,47161,3.26,6.6
2014,115,4,11,47145,2.44,7.0
2009,109,0,11,47143,14.05,5.8
2022,104,5,11,47126,68.28,6.2
1982,127,5,10,47109,57.06,6.6
2005,122,6,13,47066,22.86,6.2
2006,87,12,11,47061,47.86,5.1
1976,96,0,13,47029,46.2,6.7
1993,129,0,13,47027,63.1,6.2
2011,105,0,13,47027,0.04,6.1
2003,102,6,13,47022,10.11,6.7
2002,109,6,13,46977,0.18,7.8
1972,117,0,10,46961,84.56,7.1
1995,109,0,11,46931,81.02,5.3
2008,134,4,9,46929,1.8,7.2
2008,103,5,13,46888,1.59,6.2
1991,91,0,13,46845,15.56,4.2
1985,97,5,10,46838,10.3,7.1
2016,119,5,13,46837,5.66,7.3
2011,91,3,10,46833,1.0,7.4
2014,124,4,10,46818,36.45,7.0
2017,119,4,13,46799,4.21,6.9
1986,83,5,10,46788,43.58,5.3
1992,86,0,11,46706,16.62,5.7
2010,98,5,13,46704,3.25,6.3
1967,108,5,3,46688,56.7,7.8
2007,93,5,4,46682,32.06,6.2
2018,116,4,13,46673,2.86,7.0
1996,115,5,13,46669,33.11,4.5
1954,120,5,9,46663,30.0,7.5
2016,92,0,13,46635,0.04,6.3
2002,90,12,13,46617,30.35,3.9
2013,91,3,10,46616,90.29,5.7
2006,108,7,13,46597,0.04,7.2
1987,102,12,13,46593,14.18,6.7
1983,117,0,13,46573,67.64,6.6
2015,84,0,13,46501,0.23,6.9
2010,104,7,13,46482,4.44,6.7
2009,92,0,10,46474,35.92,5.6
2003,94,7,11,46439,30.31,5.3
2007,99,6,13,46389,5.48,7.5
1964,87,5,4,46384,13.78,7.5
2011,100,5,10,46383,7.2,6.2
1992,110,7,13,46337,88.04,6.7
2013,100,2,13,46321,7.19,5.3
1967,100,7,13,46318,0.03,7.7
2011,109,2,10,46293,23.19,5.8
1987,107,5,10,46293,40.05,6.6
2003,110,7,9,46271,0.5,7.9
2010,90,0,13,46266,8.46,5.6
2016,136,6,9,46261,1.24,8.1
1987,102,2,11,46238,34.37,6.9
2002,110,0,13,46233,26.2,6.4
2014,104,7,11,46229,23.39,6.2
2005,104,5,11,46216,42.07,6.2
1997,96,5,13,46203,10.69,7.3
2008,99,5,11,46180,60.49,6.0
2018,109,2,10,46148,100.48,4.2
2002,93,7,13,46119,14.02,6.4
2001,87,5,10,46108,112.95,4.7
2011,159,7,9,46085,0.99,7.7
2011,100,3,10,46061,64.01,5.8
2005,96,0,13,46059,5.18,2.4
2002,92,12,13,46058,0.33,6.7
1985,133,0,11,46023,33.2,7.2
1990,110,0,11,45948,70.98,6.0
1993,188,5,13,45943,6.11,7.7
2007,162,0,9,45923,3.6,6.7
2019,112,3,11,45889,7.8,7.5
1989,113,0,13,45876,18.67,7.1
2016,98,5,13,45802,4.2,6.1
1981,118,0,10,45755,41.09,6.9
2010,134,7,9,45751,0.01,8.1
2018,139,6,13,45704,0.05,6.5
2003,101,0,13,45692,34.71,5.8
2017,105,5,13,45668,5.78,5.8
2012,96,0,13,45643,0.3,5.5
1995,132,6,13,45629,24.36,7.4
2010,97,5,13,45584,1.77,6.3
1986,130,7,13,45570,42.72,6.8
2007,116,5,10,45566,72.01,5.6
1995,78,3,4,45555,11.35,7.1
1983,99,2,10,45550,45.52,3.7
1974,165,0,10,45548,116.0,7.0
2005,96,5,13,45548,12.59,6.7
2017,88,5,13,45503,25.58,5.6
2006,87,0,11,45478,0.48,4.8
1987,107,5,13,45440,1.54,7.6
2005,100,7,11,45431,7.52,6.7
1976,126,7,13,45427,1.92,7.6
1992,89,2,10,45373,58.66,4.9
2009,101,0,13,45369,0.04,6.5
2002,115,6,11,45362,40.01,5.7
2017,108,0,13,45335,0.1,6.4
2015,95,7,11,45305,0.19,5.6
2007,99,0,13,45295,10.23,5.4
2010,94,0,10,45282,24.27,5.4
1985,117,7,9,45252,20.97,7.2
1993,104,5,10,45249,11.29,7.3
2016,123,0,11,45247,26.41,5.7
2008,101,5,13,45245,19.22,5.8
2014,81,5,10,45238,66.95,6.2
2017,98,5,13,45202,3.02,6.6
2017,111,7,9,45186,0.27,6.5
1971,181,7,4,45169,80.5,8.0
2015,101,5,13,45148,0.81,6.5
2012,94,0,11,45147,11.65,5.9
1992,96,6,8,45042,2.0,7.0
2009,90,5,11,45033,17.23,6.1
2018,95,2,10,45011,115.25,6.6
1992,115,7,11,45004,5.1,7.5
1973,114,2,13,45000,0.06,7.8
2010,107,4,13,44992,6.78,7.2
2006,114,0,13,44984,6.57,7.0
2014,99,5,13,44891,0.44,6.4
2018,122,4,11,44888,17.61,6.6
2002,115,6,11,44871,41.54,6.3
1973,123,5,13,44844,0.58,7.9
2006,99,5,11,44826,70.17,4.8
2009,122,4,13,44817,36.84,6.7
1999,92,5,13,44779,4.0,6.2
2007,94,5,13,44769,0.35,5.4
2015,83,12,11,44763,25.8,5.2
2009,98,4,13,44751,0.45,7.5
1996,136,5,13,44738,13.42,8.0
2006,82,3,10,44728,28.43,5.0
2001,125,7,13,44703,15.65,7.5
2017,92,5,13,44692,2.83,6.6
1990,77,3,4,44685,27.93,6.8
2012,118,7,13,44651,0.08,6.5
2017,127,4,11,44607,17.45,7.0
2016,92,0,13,44600,3.91,5.8
1972,102,5,10,44568,0.2,7.8
1993,142,5,13,44545,0.11,7.2
1989,109,0,13,44505,22.1,6.4
2009,118,7,11,44480,24.0,5.8
1998,89,0,11,44478,23.32,3.8
2016,163,2,13,44439,0.66,7.0
2015,122,4,13,44427,0.64,6.8
1989,96,12,13,44347,11.64,4.9
2011,91,6,13,44235,0.02,5.3
1998,96,3,4,44218,85.74,6.2
2012,126,5,9,44210,0.17,7.8
2016,93,12,11,44190,26.58,4.8
2011,156,0,9,44181,2.51,4.7
2007,84,6,13,44173,16.47,5.6
2001,105,7,13,44161,17.01,6.3
1993,102,0,13,44149,23.8,5.8
1980,104,6,13,44136,31.9,7.1
1999,122,5,11,44129,22.36,6.1
2005,105,5,11,44106,68.92,5.9
1987,88,5,10,44086,28.06,4.9
2006,97,2,4,44081,82.99,6.3
1981,94,5,13,44067,111.29,6.2
1996,105,5,10,44059,95.32,5.7
2003,84,0,9,44036,0.5,5.8
1995,139,2,13,44032,31.6,6.9
1974,98,12,13,44018,4.05,7.1
2014,84,12,13,43993,32.46,5.0
1985,110,7,13,43983,37.8,6.3
2002,185,7,9,43951,3.5,7.5
1984,101,0,10,43884,28.73,6.7
2009,102,5,4,43877,79.57,4.6
2017,91,5,13,43874,32.19,5.6
2012,83,5,13,43870,0.38,3.8
2007,99,12,13,43846,25.12,5.6
1995,90,0,13,43784,8.17,6.3
2015,119,7,13,43762,0.34,5.5
2005,126,7,13,43758,18.32,7.3
1973,89,5,10,43744,2.91,7.1
2007,104,7,11,43733,9.42,7.6
1995,87,0,13,43705,32.39,6.7
2013,105,3,10,43690,71.02,5.3
1990,92,12,13,43683,5.84,6.8
2014,113,2,10,43681,60.76,4.6
1988,88,5,13,43672,7.18,7.5
1990,127,15,13,43661,86.3,6.9
2002,105,7,11,43641,15.54,7.7
2012,91,5,11,43612,18.44,5.8
2012,114,5,11,43611,12.41,7.0
2015,91,19,13,43594,35.39,4.7
1999,109,2,9,43556,1.64,5.9
1989,84,3,4,43548,27.1,6.7
2004,97,0,11,43536,36.61,4.5
2005,134,5,11,43519,19.38,6.3
1963,210,0,4,43490,46.3,7.5
2006,140,0,11,43454,13.08,6.5
2012,140,6,9,43440,2.71,7.2
1991,90,12,13,43419,14.96,5.1
2007,90,5,11,43412,32.84,5.3
2006,110,5,10,43408,18.6,5.4
1992,87,0,11,43397,28.41,4.3
2007,157,7,8,43385,4.6,7.5
2008,106,5,9,43382,1.48,7.1
2012,95,4,13,43326,6.0,7.2
1995,88,5,11,43304,10.77,5.8
2015,106,7,11,43279,4.69,6.9
1992,88,5,10,43277,40.69,5.8
2010,98,7,13,43277,0.02,6.4
2012,100,5,11,43238,63.54,6.3
2020,106,2,10,43227,0.2,5.3
2012,91,0,11,43225,26.41,5.3
2002,97,6,13,43218,8.11,7.3
2014,93,5,13,43175,5.28,6.8
2015,96,0,11,43160,16.03,5.2
2014,90,0,11,43150,20.29,5.6
2010,106,6,13,43149,0.12,6.9
2000,104,5,10,43128,69.69,6.1
2002,101,7,11,43118,20.78,7.5
2014,103,3,10,43114,0.77,7.7
1985,89,0,11,43105,6.95,5.1
1993,87,7,13,43094,44.59,6.4
2009,99,5,11,43088,33.86,4.8
2019,112,4,11,43075,4.54,6.8
2015,100,7,13,42943,0.44,7.8
1990,95,0,13,42936,80.82,5.9
1983,79,5,10,42924,11.8,7.7
2003,101,5,11,42910,20.3,6.3
2018,105,7,9,42892,0.09,6.7
2000,92,7,13,42881,8.29,6.9
2003,92,3,11,42832,0.13,7.8
2019,106,7,13,42805,8.55,5.4
2011,107,5,13,42713,7.25,6.1
1997,90,5,11,42707,63.86,6.4
1982,82,3,4,42693,10.14,7.5
1998,80,5,11,42688,4.07,7.6
1993,101,7,4,42654,31.18,7.3
1982,129,7,13,42621,54.0,7.7
2003,88,0,11,42592,22.11,5.2
1997,88,0,11,42588,31.24,5.5
2011,95,0,9,42553,0.03,6.4
1995,127,5,10,42546,53.67,6.3
2012,124,2,13,42497,0.72,6.0
1987,114,0,13,42408,35.51,7.1
2016,111,7,11,42355,18.71,6.5
2006,117,4,13,42354,11.24,7.0
1987,94,12,13,42336,3.37,6.9
2019,86,3,10,42327,100.04,5.8
1973,143,6,10,42278,16.06,7.8
2008,90,2,10,42256,11.8,5.1
1998,169,7,11,42240,75.38,6.7
2015,115,0,13,42230,10.64,5.8
1987,106,0,10,42219,17.34,5.3
1986,117,7,13,42216,6.73,5.9
1953,118,7,9,42201,20.0,7.6
2000,98,5,13,42183,57.33,6.1
1992,95,5,8,42183,0.21,7.4
2003,109,4,10,42153,52.28,6.9
2010,105,7,13,42147,1.8,5.4
1996,87,5,11,42146,32.38,6.2
2018,111,5,11,42132,77.34,5.6
1991,110,0,13,42127,30.1,5.6
2000,101,7,13,42110,0.14,6.9
2014,117,7,13,42085,0.01,6.9
2001,116,0,11,42065,32.72,4.6
1998,134,6,11,42020,14.1,7.4
2008,110,7,13,42013,3.15,7.0
2007,112,2,10,41975,40.41,6.4
1989,113,6,13,41969,58.57,6.8
1989,96,12,13,41963,7.83,6.8
1995,110,0,13,41963,35.32,5.7
2006,104,5,13,41943,11.6,6.4
1996,110,6,9,41923,0.0,7.3
2012,111,7,9,41923,0.18,7.7
2002,105,6,13,41890,10.46,7.1
2001,95,2,11,41888,33.42,4.9
2002,122,5,13,41878,3.9,7.3
2013,128,4,13,41876,3.25,6.2
2014,111,5,13,41860,0.35,6.2
2015,85,3,10,41830,19.38,7.3
2017,102,7,11,41761,27.79,4.5
2005,103,2,13,41758,9.02,7.4
2016,89,5,13,41708,0.02,6.5
2009,127,7,13,41706,5.01,7.2
2013,96,12,13,41662,0.02,6.0
2005,116,6,13,41657,22.2,7.3
2013,93,4,13,41613,0.36,6.2
1994,101,5,10,41539,37.8,6.4
1994,106,5,10,41508,45.61,6.1
1979,117,12,13,41501,86.43,6.1
2005,105,5,11,41495,22.83,6.2
2016,105,15,13,41478,1.31,6.1
2011,130,7,11,41474,4.46,6.8
2009,103,5,11,41457,29.58,4.9
2002,109,5,13,41447,8.36,6.3
2013,114,2,13,41428,1.08,7.0
2006,115,3,11,41402,0.05,6.3
2001,103,5,11,41396,7.5,6.7
2016,151,7,9,41370,1.4,7.4
1999,101,2,13,41356,2.06,6.9
2001,90,5,11,41342,19.35,5.8
2013,116,4,13,41314,4.44,7.1
2015,106,2,13,41293,0.05,5.6
2001,94,0,13,41292,0.08,6.6
1995,95,5,13,41284,6.7,7.0
2006,87,5,9,41278,0.08,5.8
2014,91,5,13,41276,0.51,7.0
2009,105,4,11,41233,6.11,6.7
1993,131,5,9,41224,1.77,7.7
2013,97,12,13,41200,3.8,5.6
2005,121,2,13,41160,5.02,7.3
1988,88,5,11,41143,15.63,6.2
2019,154,7,9,41113,5.57,7.9
2000,104,0,13,41108,23.36,5.8
2017,99,7,13,41093,9.6,7.2
1984,105,5,13,41088,38.44,6.3
2018,96,3,10,41059,83.24,6.6
2009,96,5,13,41040,1.47,6.4
1993,109,4,10,41032,7.27,7.4
1974,93,0,13,40993,22.0,6.9
1985,102,5,10,40955,38.8,6.5
2001,131,6,13,40873,35.93,7.4
2014,110,0,11,40871,14.0,3.1
2014,121,4,11,40859,12.55,7.4
2009,97,5,13,40841,0.25,5.8
2014,92,0,13,40805,0.01,6.7
2003,85,5,11,40774,26.28,3.4
2002,93,5,11,40767,37.19,3.6
2010,118,7,13,40730,1.01,7.6
1998,110,7,13,40684,5.6,8.0
1981,110,2,10,40683,5.73,7.4
1985,92,12,13,40671,21.93,4.7
1993,93,5,11,40663,11.59,6.4
2003,94,2,10,40639,42.73,5.5
1995,143,7,10,40583,82.57,7.3
1992,94,6,13,40578,0.18,6.8
1986,84,3,10,40563,5.85,7.2
2013,104,5,13,40537,3.45,5.8
1963,112,12,4,40521,2.62,7.4
2001,99,5,13,40516,0.09,6.4
1992,139,7,13,40503,1.86,7.2
2006,88,3,10,40500,28.14,5.8
2007,90,7,11,40485,35.37,5.3
2017,96,7,11,40473,34.0,6.3
2006,114,7,13,40452,5.97,4.4
2011,91,12,9,40405,0.12,3.8
1955,105,5,9,40368,12.0,7.1
1997,155,6,13,40325,25.08,6.6
2004,111,5,10,40319,28.18,5.8
2004,140,0,13,40280,1.11,8.0
2011,100,2,13,40275,0.18,6.7
2006,92,2,4,40270,84.5,4.8
2008,118,5,13,40268,3.49,7.0
1952,129,5,12,40252,10.55,7.7
2019,97,3,10,40247,60.72,7.0
1996,120,5,10,40239,22.2,6.6
1994,114,7,10,40211,17.19,6.6
1994,106,5,13,40210,15.19,7.2
1999,95,2,13,40195,4.22,6.8
2004,111,5,11,40195,12.19,6.1
2017,122,6,11,40158,11.96,6.5
2015,129,4,10,40150,44.47,7.4
1998,111,6,13,40138,8.84,6.7
2018,115,4,13,40122,6.79,6.9
2008,107,6,13,40110,4.6,6.0
2015,105,0,13,40090,0.18,6.6
1953,91,5,3,40073,12.0,7.1
2000,94,4,13,40069,0.23,7.1
1989,100,2,13,40068,14.34,4.5
2015,93,5,13,40054,12.28,5.0
1941,99,10,3,40048,4.5,7.3
2013,105,0,13,40020,0.1,6.0
2011,91,7,11,40012,37.3,4.8
1994,98,5,13,40008,13.38,7.4
2012,95,6,13,40006,0.07,6.2
2005,97,2,11,40004,15.01,5.1
2018,107,7,11,39990,4.05,5.4
1988,95,12,13,39975,8.25,6.6
2003,92,5,11,39974,36.92,6.1
2003,113,7,9,39923,0.02,7.7
2007,91,5,11,39912,43.8,5.2
2002,98,7,13,39901,1.64,6.8
1968,153,7,4,39814,16.8,7.4
1999,142,6,13,39795,19.28,6.7
2009,99,5,13,39790,0.22,6.9
2001,101,7,11,39780,24.19,6.9
1995,106,5,10,39766,76.59,6.0
1999,75,3,4,39727,60.66,7.1
2006,96,5,13,39706,0.14,6.4
2002,101,5,13,39700,0.41,6.7
2018,112,5,11,39668,50.32,6.0
2018,111,6,13,39634,24.01,6.5
2015,97,7,11,39626,0.85,7.6
2009,104,7,13,39588,0.11,5.9
2005,93,0,10,39578,39.18,3.7
2006,145,5,13,39578,0.28,5.3
2013,104,4,13,39576,1.03,6.4
2009,101,0,13,39570,10.28,5.5
1978,86,5,13,39560,44.36,6.9
1989,124,6,8,39547,7.72,7.5
2008,97,0,13,39536,0.47,7.1
2006,93,12,13,39529,7.03,5.4
2015,96,7,13,39520,3.59,6.1
2001,98,7,13,39500,0.41,7.1
2014,114,2,13,39476,1.17,6.4
2000,94,5,10,39474,17.07,6.7
1995,87,12,13,39438,15.12,4.7
1987,94,5,11,39430,31.62,6.8
2008,102,5,11,39410,6.41,6.2
2012,99,5,13,39342,0.14,6.3
1999,126,7,11,39334,52.88,6.2
1992,107,7,13,39266,47.92,6.4
1983,101,12,10,39264,29.5,6.4
2001,108,4,13,39247,1.54,6.9
1988,88,12,13,39244,19.17,5.2
2004,100,3,11,39215,1.04,7.4
2002,104,7,11,39188,30.32,6.1
2007,102,5,11,39184,42.67,5.6
2005,95,5,10,39158,52.58,5.6
2010,98,0,11,39156,0.12,6.7
2019,102,5,13,39153,15.5,6.5
1971,117,3,4,39144,18.53,7.0
1996,84,0,13,39140,21.16,5.8
1983,105,5,13,39136,56.2,7.1
2019,104,0,13,39081,2.41,6.6
2014,118,5,10,39040,85.91,5.3
2015,94,0,10,39005,71.04,4.4
1996,81,0,11,38982,29.0,5.3
2012,97,5,11,38980,0.32,6.7
2000,90,2,13,38962,26.44,4.0
1990,103,6,13,38936,2.55,6.9
2011,87,5,13,38936,6.86,6.3
1977,123,5,13,38935,28.0,7.3
2008,108,6,13,38924,0.0,7.2
2008,93,3,4,38900,50.88,6.1
1986,103,5,11,38899,41.38,6.4
1996,242,7,11,38896,4.41,7.7
1984,89,5,13,38895,2.44,7.4
2006,94,3,10,38876,15.13,6.0
2008,150,0,13,38875,0.48,7.3
2012,106,7,13,38861,7.6,6.6
2003,91,3,10,38854,20.99,5.8
1996,124,7,11,38848,7.34,6.8
2017,122,2,13,38838,115.17,6.2
1975,115,7,10,38838,0.23,7.4
2016,134,4,11,38822,19.1,7.1
1984,92,0,13,38817,3.57,6.9
2012,89,12,9,38792,0.02,6.1
2006,171,0,9,38748,0.8,7.1
2015,127,4,11,38747,12.19,6.9
1979,89,12,13,38721,11.99,6.6
2009,88,5,10,38698,49.49,5.3
1985,100,0,11,38691,0.11,7.5
1972,90,0,13,38677,4.06,7.2
1979,121,5,10,38674,15.28,7.5
1998,106,0,13,38635,11.2,6.1
1971,131,15,4,38581,3.42,7.2
2001,106,6,11,38557,18.0,5.8
2014,106,5,13,38556,3.59,6.6
2008,91,5,11,38556,0.03,1.9
2016,90,12,9,38555,0.15,5.9
2013,106,7,11,38498,7.38,5.6
2010,82,5,13,38485,0.1,5.7
2002,93,5,13,38485,0.15,6.6
1972,84,6,13,38477,3.1,5.9
1999,97,5,11,38476,10.56,6.6
2018,98,4,10,38463,5.47,7.2
1970,98,7,13,38460,19.4,7.4
1990,102,5,10,38450,39.4,5.9
1991,104,5,11,38449,54.83,6.3
1998,101,5,10,38447,34.55,5.4
1945,101,7,12,38433,9.46,7.9
2000,100,2,4,38421,66.96,4.8
1989,101,6,13,38414,4.73,7.3
2012,107,6,13,38411,0.69,5.7
2002,117,4,13,38329,1.13,7.3
1987,88,5,11,38314,57.92,6.3
2010,107,5,13,38307,4.22,6.1
2012,93,0,11,38291,3.75,4.9
2007,125,7,13,38276,0.11,7.6
2002,88,2,10,38234,48.36,5.5
2003,116,0,11,38207,30.01,5.3
1997,109,4,13,38169,41.2,6.9
2003,105,5,11,38160,132.72,5.6
1986,83,4,19,38154,0.61,7.0
2013,97,5,13,38135,0.03,5.7
2005,100,12,11,38098,29.51,3.7
2016,118,5,11,38094,32.46,5.6
1996,101,5,13,38069,9.71,6.7
2005,111,0,13,38061,11.91,7.0
2007,113,5,13,38056,6.61,7.1
2018,105,5,11,38055,53.06,5.6
1985,80,3,10,38045,21.29,6.3
2009,94,3,10,38043,19.55,6.2
2013,91,0,13,38039,0.03,5.4
2014,102,7,13,38034,1.87,6.4
1999,148,7,11,38000,39.26,6.7
2017,95,0,13,37999,30.72,5.9
2001,109,0,13,37992,0.05,6.5
2012,95,5,11,37976,37.13,5.8
2009,105,5,13,37974,0.72,6.8
2008,93,15,11,37969,0.27,5.8
1981,95,0,10,37863,72.18,6.2
2018,133,6,11,37836,29.72,7.5
2013,98,2,13,37817,0.02,5.5
1981,91,12,13,37784,17.99,6.5
2018,90,5,11,37781,30.57,3.9
2004,114,12,13,37775,41.82,5.1
2004,100,7,13,37763,5.01,6.2
2018,113,2,13,37748,1.23,5.8
2003,90,0,13,37748,10.25,2.1
2013,120,7,9,37741,1.12,7.8
2009,98,4,13,37733,1.45,7.1
1990,108,0,13,37711,24.08,6.2
1995,103,5,11,37681,69.7,5.5
2005,94,5,11,37673,35.42,5.8
2001,128,7,13,37664,1.49,7.0
1981,113,6,13,37618,24.06,7.4
2014,93,12,13,37575,0.01,6.3
2004,119,5,11,37554,37.49,6.0
1988,111,6,13,37552,32.07,7.1
2011,112,7,13,37541,0.02,5.8
1937,113,7,9,37539,0.17,8.1
1994,108,4,10,37538,21.85,7.8
2004,182,0,9,37523,1.72,7.0
1999,102,5,11,37462,33.86,5.9
1990,104,0,11,37456,44.14,6.5
2012,134,5,9,37448,1.67,7.8
2017,132,7,11,37420,57.39,6.2
1979,95,2,4,37329,76.66,7.6
1997,94,5,8,37315,0.58,6.1
1992,108,12,13,37267,32.1,5.4
2004,131,7,13,37260,3.77,7.0
1951,111,7,3,37233,3.97,8.1
1995,112,5,13,37180,8.35,7.4
1999,127,6,13,37174,16.64,6.6
2001,95,3,10,37174,13.6,6.3
1988,171,7,13,37164,10.01,7.3
2009,101,5,13,37146,0.04,6.7
2018,111,4,11,37132,2.29,6.9
2003,137,2,13,37098,26.9,6.5
2021,103,0,13,37090,44.54,5.4
2016,94,5,13,37065,9.09,4.8
2011,87,3,4,37044,133.11,4.3
1982,115,5,10,37029,15.17,4.5
2021,101,3,10,37015,46.54,5.2
1995,95,2,11,37009,29.41,6.2
1988,90,5,10,37009,4.24,4.6
1986,86,5,11,36992,13.17,6.1
2004,114,4,13,36991,4.84,6.2
1953,85,0,4,36974,4.36,7.0
1960,101,7,9,36961,0.08,7.6
1987,110,5,10,36959,29.76,6.1
2017,111,4,11,36958,22.25,6.8
2012,135,0,9,36944,0.04,8.2
1997,109,5,11,36929,29.29,6.1
1991,102,5,13,36898,24.2,6.4
2005,91,5,13,36864,3.89,7.2
1998,118,7,13,36861,1.05,6.9
2002,120,4,11,36852,21.08,7.3
1991,97,0,13,36835,47.62,6.6
1977,90,12,13,36825,25.0,6.3
1991,118,5,13,36793,14.92,7.6
1979,156,7,19,36791,23.44,5.3
2008,88,12,11,36791,43.87,3.9
1971,98,0,4,36724,12.3,6.3
2002,88,5,11,36701,28.97,5.8
2012,100,0,13,36692,13.75,6.1
2009,75,3,9,36691,0.69,7.6
2015,158,0,9,36686,6.56,7.2
2002,114,6,13,36657,6.59,6.2
2008,130,0,13,36627,0.13,7.2
1997,93,5,10,36620,29.34,3.6
1980,102,12,13,36616,19.85,6.9
1948,135,7,9,36588,10.9,8.1
2014,109,6,13,36587,0.41,6.7
2012,83,12,13,36558,53.26,4.2
2009,101,15,11,36548,29.06,5.6
1996,135,4,10,36529,50.05,6.3
1987,106,5,10,36528,32.95,6.6
2012,80,12,13,36527,0.01,5.0
1970,139,2,11,36488,31.56,7.5
2007,87,5,11,36478,25.63,5.2
2013,95,7,9,36466,0.05,6.7
1971,82,5,11,36466,11.8,6.9
2016,80,3,10,36423,0.92,7.5
1997,89,5,13,36410,0.02,6.6
2007,101,0,11,36393,5.93,5.4
2003,94,7,11,36353,2.22,7.1
2001,95,5,13,36351,3.03,7.7
1997,103,5,13,36349,4.27,6.3
2009,102,5,11,36346,14.79,5.3
2017,90,0,13,36337,45.83,4.6
1996,115,15,11,36330,14.05,6.2
2015,158,0,9,36314,4.83,5.0
2015,132,6,9,36306,0.34,8.1
1998,97,0,13,36267,19.82,5.9
1993,107,5,13,36242,0.7,7.0
2012,125,0,11,36240,49.88,5.9
2005,95,0,13,36215,2.41,2.9
2006,102,7,13,36184,7.01,6.1
2018,133,6,13,36166,2.66,6.9
1993,134,7,9,36162,0.08,7.5
2011,101,7,13,36132,0.08,5.5
2011,118,2,13,36128,0.14,6.7
2001,101,0,13,36104,51.76,5.6
1999,137,7,11,36096,35.17,6.6
2001,82,3,4,36094,80.94,6.0
2010,91,5,13,36077,7.46,6.3
1980,109,5,10,36060,103.29,6.9
1968,105,5,12,36037,44.53,7.6
2012,132,0,9,36017,2.35,5.6
2007,102,6,11,35993,20.57,6.1
2008,96,2,10,35961,48.01,6.0
1981,124,7,13,35940,1.11,7.3
2018,120,4,11,35939,24.62,7.1
2008,85,12,11,35926,25.93,5.2
1997,112,7,13,35867,3.25,7.5
2009,113,7,13,35867,0.07,7.1
1985,108,5,10,35861,13.0,6.9
2008,128,7,11,35850,3.77,7.5
2003,102,0,10,35843,47.94,5.1
2012,90,6,13,35842,0.32,6.4
1971,138,7,10,35786,0.7,7.6
2002,127,7,4,35774,75.6,6.9
2010,80,3,10,35768,2.23,7.5
1999,95,5,11,35754,4.2,7.2
1966,120,4,4,35718,28.35,7.7
2018,93,12,11,35713,30.57,3.2
1983,94,6,13,35691,2.49,7.1
1995,88,5,13,35684,4.77,7.4
2014,107,2,10,35666,51.18,6.4
2000,110,5,13,35636,25.17,6.3
1986,106,0,13,35635,16.21,5.6
2013,107,5,11,35624,18.0,5.7
1995,111,0,13,35608,20.35,5.8
2006,120,7,13,35601,0.41,7.7
2011,95,3,10,35587,108.09,5.4
1999,85,5,13,35566,2.21,6.7
2014,134,4,13,35565,47.03,6.8
2002,86,0,11,35545,38.23,5.9
1970,100,7,10,35536,106.4,6.9
2004,101,6,13,35532,6.52,7.4
1987,106,5,11,35529,57.39,6.0
1995,97,7,4,35503,10.02,7.6
2018,98,7,13,35492,10.52,6.0
1970,144,0,4,35474,29.55,7.5
2017,98,7,9,35462,0.14,6.4
2013,112,7,13,35459,0.32,6.2
1955,118,6,9,35452,0.06,8.1
1984,114,0,13,35429,15.1,6.0
1985,116,0,13,35425,17.31,7.3
2000,102,0,13,35424,14.97,5.1
2005,122,7,9,35422,0.73,8.1
1997,93,0,13,35386,11.44,4.8
2013,130,0,11,35383,6.59,6.5
1954,96,0,9,35372,2.42,7.5
1984,114,6,13,35363,8.8,6.8
1991,102,5,11,35325,25.2,6.3
1994,102,6,13,35302,2.2,7.9
2002,118,5,11,35289,56.4,5.9
1940,99,5,9,35283,0.2,8.0
2005,99,5,13,35273,1.62,6.8
1972,91,7,13,35271,1.74,8.0
2018,99,2,10,35251,54.86,5.6
2016,123,4,11,35237,7.7,7.0
2006,125,4,13,35211,1.17,7.0
2014,112,7,11,35210,14.9,5.9
1954,127,2,4,35207,28.2,7.2
2017,127,4,11,35190,17.27,7.1
2018,99,7,11,35189,25.09,5.4
1995,102,7,11,35119,50.01,6.7
2014,112,6,13,35113,1.41,7.1
1951,114,7,12,35096,4.5,7.2
2007,98,6,13,35092,3.99,5.9
2006,126,4,13,35080,14.42,6.5
2000,120,5,11,35079,33.77,6.7
2009,99,5,11,35078,2.28,7.1
1971,112,0,13,35058,0.39,7.3
2001,131,7,13,35045,25.54,5.9
