,title,director,release_year,length,genre,imdb_score,rating,gross_US_CA,imdb_votes
157,On the Job 2: The Missing 8,Erik Matti,(2021),208 min,"Action, Crime, Drama",7.6,,,186
158,The Tokoloshe,Jerome Pikwane,(2018),92 min,"Horror, Thriller",4.6,,,186
159,Night Crawlers,Benjamin Wilbanks,(2009),76 min,"Comedy, Horror",3.9,,,186
160,Guendalina,Alberto Lattuada,(1957),100 min,Comedy,6.8,,,186
161,Generasi 90an: Melankolia,Mohammad Irfan Ramly,(2020),91 min,Drama,5.6,TV-14,,186
162,The Missing Sister,Craig Goldstein,(2019),85 min,Thriller,4.7,TV-14,,186
163,Remembrance,Colin Gregg,(1982),117 min,Drama,5.3,,,186
164,Hard Evidence,Michael Kennedy,(1995),100 min,"Action, Drama, Thriller",4.5,R,,186
165,Taj Mahal: An Eternal Love Story,Akbar Khan,(2005),164 min,"Drama, History, Musical",5.5,,,186
166,Poetas,Giedrius Tamosevicius,(2022),112 min,"Drama, History, War",7.4,,,186
167,Solwah Saal,Raj Khosla,(1958),135 min,"Comedy, Romance, Thriller",7.5,Not Rated,,186
168,Virginia Minnesota,Daniel Stine,(2018),98 min,"Comedy, Drama",5.6,Not Rated,$0.02M,186
169,The Borrowed Christmas,Chip Rossetti,(2014),95 min,"Drama, Family",4.0,Not Rated,,186
170,Time Is My Enemy,Don Chaffey,(1954),64 min,"Crime, Drama",6.3,,,186
171,Blaze of Noon,John Farrow,(1947),90 min,"Action, Drama",6.3,Approved,,186
172,The Next Generation Patlabor: Tokyo War,Mamoru Oshii,(2015),94 min,"Action, Sci-Fi",4.3,,,186
173,Adam's Woman,Philip Leacock,(1970),116 min,Drama,6.3,M,,186
174,Sargam,K. Viswanath,(1979),145 min,"Musical, Romance",6.5,Not Rated,,186
175,Betrayal,Jack Topalian,(II) (2013),90 min,"Action, Adventure, Crime",3.7,Not Rated,,186
176,Trust No One,Curtis Crawford,(2016),88 min,Thriller,4.9,TV-14,,186
177,Haunted Universities,Bunjong Sinthanamongkolkul,(2009),110 min,Horror,5.4,,,186
178,Pyaar Mein Kabhi Kabhi...,Raj Kaushal,(1999),,"Comedy, Drama, Musical",4.5,,,186
179,Sunset Murder Case,Louis J. Gasnier,(1938),59 min,Mystery,4.7,Approved,,186
180,Closure,Alex Goldberg,(I) (2018),90 min,"Comedy, Drama",6.5,,,186
181,Trotta,Johannes Schaaf,(1971),95 min,Drama,7.9,,,186
182,Stop the World: I Want to Get Off,Philip Saville,(1966),100 min,Musical,5.1,,,186
183,Cup Fever,David Bracknell,(1965),63 min,"Family, Sport",6.6,,,186
184,Bodywork,Gareth Rhys Jones,(2001),92 min,Crime,5.3,R,,186
185,Jee Aayan Nu,Manmohan Singh,(2003),187 min,"Drama, Romance",6.8,Not Rated,,186
186,Santa's Boot Camp,Ken Feinberg,(2016),93 min,"Adventure, Comedy, Family",3.1,Not Rated,,186
187,Garo the Movie: Red Requiem,Keita Amemiya,(2010),97 min,"Action, Drama, Fantasy",5.6,,,186
188,Darkness,Emanuela Rossi,(2019),96 min,"Drama, Mystery",5.7,,,186
189,Sakutumba Sametha,Rahul Pk,(2022),,Drama,7.7,,,186
190,Brothers,Arthur Barron,(1977),105 min,"Biography, Drama",6.5,R,,186
191,Prepper,Andrew Patterson,(2016),90 min,Drama,4.5,,,186
192,Ghost Catchers,Edward F. Cline,(1944),68 min,"Comedy, Music, Romance",5.6,Approved,,186
193,House of the Wolf Man,Eben McGarr,(2009),81 min,"Family, Horror",5.4,,,186
194,Going Shopping,Henry Jaglom,(2005),106 min,"Drama, Romance",5.1,PG-13,,186
195,Sinbad: The Battle of the Dark Knights,Alan Mehrez,(1998),90 min,"Adventure, Fantasy",2.2,,,186
196,The Undercover Kid,Linda Shayne,(1996),80 min,Family,4.2,PG,,186
197,Agnee 2,Iftakar Chowdhury,(2015),150 min,Action,5.3,,,186
198,Living on Tokyo Time,Steven Okazaki,(1987),83 min,"Comedy, Drama",6.4,R,$0.29M,186
199,The Inheritance,Charles Henri Belleville,(2007),62 min,Drama,5.6,,,186
200,Sangkuriang,Sisworo Gautama Putra,(1982),95 min,"Adventure, Fantasy, Romance",6.9,,,186
201,Bank$tas,Jeff Stephenson,(2013),80 min,"Comedy, Crime",4.6,R,$0.01M,186
202,Gatecrash,Lawrence Gough,(2020),86 min,"Drama, Thriller",4.2,,,186
203,3 Bachelors,Ajai Sinha,(2012),114 min,"Comedy, Romance",3.3,Not Rated,,186
204,Rogues' Regiment,Robert Florey,(1948),86 min,"Action, Adventure, Mystery",6.5,Passed,,186
205,The Amorous Mr. Prawn,Anthony Kimmins,(1962),89 min,Comedy,5.6,,,186
206,Heads and Tails,Nicolae Constantin Tanase,(2019),80 min,Drama,3.6,,,186
207,Onna goroshi abura no jigoku,Hideo Gosha,(1992),115 min,Drama,6.5,,,186
208,Double Life,Yoshiyuki Kishi,(2016),126 min,"Drama, Mystery",5.9,,,186
209,Soultangler,Pat Bishow,(1987),90 min,Horror,4.4,Not Rated,,186
210,Angels of Darkness,Giuseppe Amato,(1954),94 min,Drama,7.5,,,186
211,The Young Girl and the Monsoon,James Ryan,(1999),90 min,Comedy,5.5,Not Rated,$0.01M,186
212,American Fusion,Frank Lin,(2005),94 min,"Comedy, Romance",6.2,PG-13,,186
213,Divina confusión,Salvador Garcini,(2008),105 min,"Comedy, Drama",4.7,Not Rated,,186
214,Assassins' Code,Lawrence Riggins,(2011),90 min,"Action, Crime, Thriller",3.3,R,,186
215,A Medal for Benny,Irving Pichel,(1945),77 min,Drama,6.3,Approved,,186
216,Don't Give a Damn,Sammo Kam-Bo Hung,(1995),90 min,"Action, Thriller, Comedy",6.0,,,186
217,Somewhere Under the Broad Sky,Masaki Kobayashi,(1954),109 min,Drama,7.1,,,186
218,Getting Schooled,Chuck Norfolk,(2017),83 min,"Comedy, Horror",3.0,Unrated,,186
219,Oikogeneia Horafa,Kostas Asimakopoulos,(1968),100 min,"Comedy, Drama",5.6,,,186
220,The Little Girl of Hanoi,Hai Ninh,(1974),72 min,"Drama, War",7.0,,,186
221,Pinocchio,Giulio Antamoro,(1911),50 min,Fantasy,5.8,,,186
222,Born Wild,Dustin Rikert,(2012),105 min,Drama,4.2,R,,186
223,Hope,Boris Lojkine,(V) (2014),86 min,Drama,6.7,,,186
224,Highway to Dhampus,Rick McFarland,(2014),100 min,"Drama, Romance",7.5,PG,,186
225,Kidnapper,Kelvin Tong,(2010),98 min,"Action, Thriller",6.3,,,186
226,Mapantsula,Oliver Schmitz,(1988),100 min,"Crime, Drama",6.8,Not Rated,,186
227,Lana's Rain,Michael S. Ojeda,(2002),107 min,Drama,6.2,R,,186
228,Fun Down There,Roger Stigliano,(1989),89 min,"Comedy, Drama, Romance",4.5,,,186
229,IceCream,Redoan Rony,(2016),122 min,"Drama, Romance",6.8,,,186
230,Attack of the Demons,Eric Power,(2019),75 min,"Animation, Horror",5.8,,,186
231,Carnival in Costa Rica,Gregory Ratoff,(1947),97 min,"Music, Romance",5.9,Passed,,186
232,Creature Lake,Drazen Baric,(2015),80 min,"Action, Drama, Horror",3.2,,,186
233,Ana Arabia,Amos Gitai,(2013),85 min,Drama,5.9,,,186
234,Ivory Hunter,Harry Watt,(1951),107 min,"Adventure, Drama",6.2,,,186
235,A Chronicle of Corpses,Andrew Repasky McElhinney,(2000),83 min,"Drama, Horror",4.0,,,186
236,Volando Bajo,Beto Gómez,(2014),96 min,"Comedy, Drama, Musical",5.7,,,186
237,Diapason,Hamed Tehrani,(2019),92 min,Drama,5.9,,,186
238,Rage,Chris Witherspoon,(I) (2010),85 min,"Action, Drama, Horror",4.4,,,186
239,La grande sauterelle,Georges Lautner,(1967),95 min,"Drama, Romance",5.6,GP,,186
240,Broken Ceiling,Adam Davis,(2018),90 min,Drama,6.9,,,186
241,"Sex, hopp & kärlek",Lisa Ohlin,(2005),93 min,Drama,5.1,,,186
242,Happy Landing,Roy Del Ruth,(1938),102 min,"Comedy, Music, Romance",6.4,Approved,,186
243,Beste Chance,Marcus H. Rosenmüller,(2014),104 min,"Comedy, Drama",6.0,,,186
244,When Danger Follows You Home,David E. Peckinpah,(1997),85 min,Thriller,5.2,PG-13,,186
245,Ek Se Badhkar Ek,Kundan Shah,(2004),146 min,"Comedy, Thriller",4.6,,,186
246,Death Knell,Imanol Rayo,(2020),95 min,Drama,5.2,,,186
247,Goodnight Irene,Paolo Marinou-Blanco,(2008),98 min,"Comedy, Drama",6.8,,,186
248,Communists,Jean-Marie Straub,(2014),70 min,Drama,6.0,,,186
249,Manipulation,Pascal Verdosci,(I) (2011),90 min,"Drama, Thriller",6.2,,,186
250,The Wild Dogs,Thom Fitzgerald,(2002),97 min,Drama,6.7,,,186
251,Ghost in Transit,Mohamed Farouk,(2020),90 min,Comedy,4.2,,,186
252,Arkadasim Max,Murat Seker,(2013),85 min,Comedy,4.1,,,186
253,Code Name Venus,Tamer Garip,(2012),90 min,"Action, Adventure, Romance",5.0,,,186
254,The Loves of Joanna Godden,Charles Frend,(1947),89 min,Drama,6.7,,,186
255,Priyasakhi,K.S. Adiyaman,(2005),157 min,"Drama, Family, Romance",4.6,,,186
256,Sex & Crime,Paul Florian Müller,(I) (2016),82 min,"Comedy, Thriller",5.7,,,186
257,The Night Before,Brett Bentman,(I) (2017),81 min,Horror,4.3,Not Rated,,186
258,À 2 heures de Paris,Virginie Verrier,(2018),80 min,Comedy,5.5,,,186
259,Halloween Horror Tales,Jeff Kirkendall,(2018),77 min,"Horror, Thriller",1.9,,,186
260,Wolf,Ya'Ke Smith,(I) (2012),87 min,"Drama, Family",7.0,,,186
261,Piata pora roku,Jerzy Domaradzki,(2012),96 min,Drama,6.3,,,186
262,Bounty,Jared Isham,(I) (2009),90 min,Western,2.7,PG-13,,186
263,Breath of Life,Beppe Cino,(1990),96 min,Drama,6.8,,,186
264,Boolryang Namnyeo,Geun-ho Shin,(2010),108 min,"Comedy, Romance",6.1,,,186
265,An Event,Vatroslav Mimica,(1969),88 min,Drama,7.6,,,186
266,I Was a Zombie for the F.B.I.,Marius Penczner,(1982),105 min,"Comedy, Sci-Fi",4.6,,,186
267,Rus iznachalnaya,Gennadiy Vasilev,(1986),149 min,"Drama, History, War",6.6,,,186
268,The Blue Exile,Erden Kiral,(1993),108 min,"Biography, Drama",6.2,,,186
269,Night Dragon,Tim Biddiscombe,(2008),80 min,"Crime, Drama, Thriller",3.0,Not Rated,,186
270,Lal Tip,Swapan Ahmed,(2012),130 min,Romance,5.0,,,186
271,Max Minsky and Me,Anna Justice,(2007),94 min,"Comedy, Romance",6.7,,,186
272,The Farm: En Veettu Thottathil,Karthik Shamalan,(2018),120 min,Thriller,7.4,,,186
273,Contactee,Vincent Caldoni,(2021),94 min,Sci-Fi,3.5,,,186
274,Skopje Remix,Jane Altiparmakov,(2012),141 min,"Animation, Action, Comedy",6.9,,,186
275,Kottan ermittelt: Rien ne va plus,Peter Patzak,(2010),95 min,"Comedy, Crime",4.2,,,186
276,Ginger: More Than a Game,Gordan Matic,(2011),85 min,"Biography, Drama",7.8,,,186
277,Karla,Herrmann Zschoche,(1965),128 min,"Drama, Romance",7.5,,,186
278,30 Miles,Ryan Harper,(I) (2004),80 min,Drama,5.0,Not Rated,,186
279,River of Gold,Paulo Rocha,(1998),95 min,Drama,6.6,,,186
280,"Percy, Buffalo Bill och jag",Anders Gustafsson,(2005),83 min,"Adventure, Family, Romance",5.6,,,186
281,Tea & Sangria,Peter Domankiewicz,(2014),110 min,"Comedy, Romance",6.1,TV-MA,,186
282,Kommer du med mig då,Kjell Grede,(2003),109 min,Drama,3.2,,,186
283,Perro Guardián,Bacha Caravedo,(2014),90 min,"Drama, Thriller",5.9,R,,186
284,Le bal masqué,Julien Vrebos,(1998),103 min,"Drama, Thriller",5.3,,,186
285,The Grave,Gazi Rakayet,(2020),132 min,Drama,7.1,,,186
286,Yarim,Çagil Nurhak Aydogdu,(2016),98 min,Drama,6.2,,,186
287,Suspicion,David Dilley,(I) (2012),91 min,"Drama, Thriller",4.4,Not Rated,,186
288,The Heart and the Sweetheart,Jan Jakub Kolski,(2014),114 min,Drama,6.4,,,186
289,Baramui jeonseol,Jeong-woo Park,(2004),132 min,"Comedy, Romance",6.7,,,186
290,Xiaozhen's Story,Shu Chang,(2016),112 min,Musical,8.4,,,186
291,Diástole y sístole: Los movimientos del corazón,Harold Trompetero,(2000),80 min,"Drama, Romance",6.1,,,186
292,O rodicích a detech,Vladimír Michálek,(2008),110 min,"Comedy, Drama",6.9,,,186
293,Wordlessness,Daryush Shokof,(2012),95 min,Fantasy,4.1,PG,,186
294,Black Eyes,Iraj Ghaderi,(2003),,Drama,3.1,,,186
295,Dirty Games,Jack Ayers,(I) (2022),87 min,"Romance, Thriller",3.4,,,185
296,Stripper Wives,Paul Thomas,(1999),86 min,"Drama, Romance",5.3,R,,185
297,Der Räuber Hotzenplotz,Michael Krummenacher,(2022),106 min,"Adventure, Comedy, Crime",6.4,,,185
